mz,RT,KMD,HS Number
714.90356,10.674936,-0.050775335,810
464.92014,1.6490655,-0.050163096,810
364.97299,7.3982654,-0.003697248,817
514.96362,9.2709737,-0.003486555,817
414.97101,8.1649862,-0.002483611,817
464.96793,8.7605966,-0.002370043,817
516.91333,4.1192446,-0.053652016,939
716.90051,10.686476,-0.053697779,939
766.8974,10.825419,-0.053614214,939
216.98863,7.598807,0.002490209,949
316.98175,9.0052591,0.001997298,949
366.9783,9.5205799,0.001740842,949
366.97971,6.5924925,0.003150932,949
717.21118,7.6110862,0.256992065,970
817.20453,8.9687195,0.256729168,970
417.22891,8.1036716,0.255560613,970
668.8761,10.454824,-0.081175352,1041
268.90079,1.1329739,-0.082033887,1041
218.90247,4.1065634,-0.083547543,1041
418.96402,9.1149342,-0.009218556,1049
468.96179,9.7204591,-0.008254934,1049
218.97849,3.2974842,-0.007522688,1049
468.96869,9.2709737,-0.001354494,1053
668.95618,10.720572,-0.001090237,1053
418.97211,8.7725966,-0.001128039,1053
568.9621,10.092719,-0.001557387,1053
518.96527,9.7094507,-0.001580948,1053
168.98875,1.6490655,-0.000455796,1053
168.98877,6.5924925,-0.000435795,1053
218.98547,4.1192446,-0.000542242,1053
268.98227,6.2029383,-0.000548682,1053
618.95898,10.431213,-0.001483822,1053
368.97543,8.1772196,-0.001001591,1053
318.97885,7.3982654,-0.000775137,1053
418.97302,9.5554444,-0.000217981,1053
219.4801,3.2974842,0.494119353,1098
669.45062,13.159713,0.493381346,1098
469.46274,9.7204591,0.492727064,1098
669.45172,12.792719,0.494481416,1098
219.98885,4.1065634,0.002901849,1113
519.96777,9.7094507,0.000983087,1113
569.96539,9.5437236,0.001796699,1113
569.96454,10.081167,0.000946644,1113
469.97183,9.2709737,0.001849582,1113
419.97531,8.7725966,0.00213604,1113
369.97876,8.1649862,0.002392497,1113
319.98209,7.3982654,0.002528946,1113
269.98566,6.2029383,0.00290541,1113
169.99208,1.6490655,0.002938292,1113
169.99213,6.5924925,0.002988295,1113
370.18561,8.8592112,0.209255709,1134
470.17783,9.6277382,0.20786274,1134
320.1889,8.932907,0.209352156,1134
1270.27698,11.206238,0.358119298,1154
920.30103,8.7605966,0.359814486,1154
1370.27271,11.56159,0.360236553,1154
1070.29297,10.092719,0.361335263,1157
1170.28662,10.732261,0.361372385,1157
970.29932,9.2709737,0.361298141,1157
870.30627,8.1772196,0.361861056,1157
1120.28967,10.431213,0.361228816,1157
1020.29572,9.7094507,0.360891675,1157
1371.27319,11.550042,0.360780459,1228
1121.28979,10.443211,0.361412699,1228
1171.28687,10.720572,0.361686277,1228
1021.29718,9.697757,0.362415643,1228
921.30383,8.7725966,0.36267854,1228
1071.29407,9.7551945,0.362499208,1228
1071.29749,10.092719,0.365919427,1234
971.30194,9.2709737,0.363982183,1234
1271.28406,11.206238,0.365263625,1234
271.97916,6.7815279,-0.003467255,1255
371.97168,8.7605966,-0.004560205,1255
421.96912,9.4256882,-0.003926604,1255
321.97513,7.9195945,-0.004303748,1255
571.96075,9.5437236,-0.002715847,1255
1072.29272,10.081167,0.361212998,1283
1272.28052,11.195159,0.361787274,1283
1172.28735,10.732261,0.362230182,1283
323.01248,4.1318843,0.033112513,1307
423.00595,7.598807,0.032969623,1307
572.99609,9.5205799,0.032690286,1307
522.99915,9.0052591,0.032556717,1307
773.1983,8.1649862,0.247688258,1340
723.20111,7.3982654,0.247304673,1340
823.19672,8.7605966,0.249301921,1340
674.0946,6.1399029,0.137657981,1394
674.09241,6.5550633,0.135467841,1394
724.08923,7.5107987,0.135481402,1394
474.10654,6.3912425,0.136823688,1394
774.08832,8.1036716,0.137765108,1394
474.96188,5.9881404,-0.007781677,1439
424.96631,7.6110862,-0.006545158,1439
424.96542,4.8514883,-0.007435215,1439
674.94952,8.3746549,-0.007367411,1439
374.96851,3.2974842,-0.007538782,1439
574.9552,7.3982654,-0.008074576,1439
724.94568,8.7605966,-0.008013892,1439
624.95209,7.9195945,-0.00799101,1439
