mass,rt,
329.19611,6.630205,
445.24332,6.630205,
406.134,6.6428966,
408.10724,6.6428966,
363.18365,6.6555049,
391.11728,6.668082,
346.11261,6.6807779,
381.08841,6.6807779,
393.11322,6.6807779,
405.13263,6.6807779,
427.08047,6.6807779,
430.20752,6.6807779,
330.15521,6.693305,
345.11176,6.7059029,
409.10806,6.7059029,
347.108,6.7187133,
390.17642,6.7187133,
639.29492,6.7187133,
435.24072,6.7313779,
320.19717,6.7440883,
327.21677,6.7440883,
392.1188,6.7440883,
577.1344,6.756403,
222.04198,6.7688008,
343.96289,6.7688008,
381.95358,6.7688008,
467.53342,6.7688008,
468.0321,6.7688008,
482.08743,6.7688008,
640.0932,6.7688008,
640.59418,6.7688008,
271.97916,6.7815279,
293.97382,6.7815279,
294.47507,6.7815279,
342.96512,6.7815279,
344.46466,6.7815279,
382.95181,6.7815279,
383.9498,6.7815279,
388.96213,6.7815279,
467.03296,6.7815279,
480.96878,6.7815279,
481.97208,6.7815279,
524.95862,6.7815279,
525.96173,6.7815279,
544.96442,6.7815279,
588.95471,6.7815279,
589.95837,6.7815279,
590.96051,6.7815279,
592.94592,6.7815279,
606.96136,6.7815279,
610.93652,6.7815279,
611.94031,6.7815279,
647.00787,6.7815279,
648.01099,6.7815279,
649.01337,6.7815279,
237.14868,6.7941195,
334.97531,6.7941195,
482.58844,6.7941195,
641.0918,6.7941195,
325.20102,6.8194987,
220.14594,6.8449508,
294.17859,6.8449508,
295.15399,6.8449508,
432.18677,6.8449508,
215.16449,6.8571674,
221.15399,6.8571674,
293.17532,6.8571674,
336.18057,6.8571674,
430.12097,6.8571674,
236.10468,6.8694696,
315.21661,6.8694696,
429.11804,6.8694696,
210.06372,6.8946237,
313.20126,6.8946237,
329.19601,6.8946237,
314.20459,6.9072508,
653.28326,6.9072508,
327.21686,6.9327029,
269.17511,6.9454507,
301.20102,6.9454507,
348.93881,6.9576758,
504.11783,6.9576758,
443.18561,6.9700613,
319.19366,6.9826945,
320.19727,6.9826945,
321.17291,6.9826945,
587.30597,6.9826945,
588.3092,6.9826945,
283.19077,6.9951279,
291.16281,6.9951279,
335.18884,6.9951279,
389.19992,6.9951279,
336.06403,7.0078362,
388.1972,7.0205653,
329.17499,7.0332404,
432.22287,7.0332404,
621.26495,7.0458696,
309.16968,7.0580883,
619.25903,7.0705404,
620.26324,7.0705404,
311.18506,7.0831696,
227.16458,7.0956758,
228.16779,7.0956758,
236.10461,7.0956758,
293.17529,7.0956758,
220.14601,7.1083425,
294.1785,7.1083425,
343.21155,7.1083425,
221.15388,7.1210508,
375.21973,7.1210508,
639.29425,7.1210508,
640.29712,7.1210508,
297.20621,7.1965153,
404.19193,7.1965153,
327.21686,7.2092029,
444.22293,7.2092029,
559.10541,7.2092029,
230.99905,7.2219133,
207.13846,7.2346133,
239.1284,7.2346133,
195.13841,7.2472757,
476.12201,7.2472757,
377.19925,7.2723133,
765.45026,7.2723133,
317.19611,7.2850279,
498.93863,7.2850279,
499.9415,7.2976487,
580.94122,7.2976487,
257.21158,7.3103821,
341.23227,7.3103821,
284.10394,7.3230403,
283.10004,7.3356695,
256.19122,7.3483321,
378.20248,7.3606445,
157.12282,7.3733903,
224.1649,7.3733903,
598.04004,7.3733903,
411.27307,7.385982,
158.12611,7.385982,
343.21161,7.385982,
344.215,7.385982,
